Variable,Comp.1,Comp.2,Comp.3,Variable,Comp.1,Comp.2,Comp.3
artificial,0.335,0.421,0.226,brandconsumer,-0.021,0.065,0.004
intelligence,0.326,0.443,0.244,consumer,0.372,-0.442,0.201
intelligencebased,-0.063,-0.087,-0.094,consumerai,-0.024,-0.023,0.032
intelligencepowered,0.037,-0.087,0.058,consumerchatbot,-0.030,0.028,0.032
humanmachine,0.103,0.028,-0.111,consumerism,-0.009,0.095,0.065
machine,0.338,0.132,-0.384,consumermachine,-0.023,-0.067,-0.130
learning,0.380,0.131,-0.431,consumers,0.104,0.054,0.309
learningbased,0.262,-0.044,-0.298,behavior,0.324,-0.466,0.135
businessmarketers,-0.048,-0.064,-0.015,behaviour,0.110,0.127,0.310
market,0.393,-0.196,0.061,experience,-0.051,-0.081,0.004
marketing,0.006,0.103,-0.086,experientialism.,-0.039,-0.011,0.015
marketplace,-0.031,-0.087,0.071,lowexperience,0.015,0.019,-0.168
neuromarketing,0.073,-0.172,0.095,usertechnologyexperience,0.013,0.049,-0.105
supermarkets,-0.014,-0.045,0.020,dissatisfaction,0.033,0.071,0.323
traditionalmarketingtheory,-0.033,0.017,-0.008,satisfaction,-0.010,0.128,0.002
