Variable,Comp.1,Comp.2,Comp.3,Variable,Comp.1,Comp.2,Comp.3
informatics,0.035,0.015,0.002,neuromarketing,-0.172,0.015,-0.061
information,-0.006,-0.150,-0.021,supermarkets,-0.012,0.008,0.001
system,-0.122,-0.111,-0.003,traditionalmarketingtheory,0.142,0.391,-0.368
systematic,0.019,0.045,-0.031,brandconsumer,0.046,0.029,-0.014
systematical,0.028,0.033,-0.004,consumer,-0.583,0.024,-0.060
systematically,-0.135,0.060,-0.030,consumerai,0.006,0.044,-0.006
misinformation,0.051,0.045,-0.025,consumerchatbot,0.027,0.011,0.015
humantechnology,0.077,0.097,0.517,consumerism,0.023,-0.012,0.022
nanotechnology,-0.043,-0.027,-0.003,consumermachine,0.005,0.025,-0.001
sociotechnological,0.142,0.391,-0.368,consumers,-0.127,-0.102,0.079
technologies,0.019,-0.222,-0.071,behavior,-0.539,0.041,-0.091
technology,0.003,-0.253,0.046,behaviour,-0.091,-0.028,0.053
usertechnology,0.077,0.097,0.517,experience,-0.016,-0.197,0.109
usertechnologyexperience,0.136,-0.460,-0.258,experientialism.,0.028,-0.035,0.032
businessmarketers,0.016,-0.012,0.008,lowexperience,0.033,0.024,0.006
market,-0.409,0.007,-0.060,usertechnologyexperience.1,0.136,-0.460,-0.258
marketing,0.079,0.078,-0.070,dissatisfaction,-0.065,-0.039,0.049
marketplace,-0.026,0.047,-0.006,satisfaction,0.011,-0.069,0.038
