"","Comp.1","Comp.2","Comp.3"
"management",0.00155629289789969,0.145628453249805,0.0526867356003306
"managementall",0.00685873285584487,-0.0116018414308361,0.0116918941409583
"managements",0.00243246995184894,-0.00712377566073439,-0.0205561015204762
"manager",0.00418258797971782,-0.00750751962732542,-0.0244152118541676
"managerial",0.00745304157583615,-0.0155697101871607,-0.0393475068132515
"managers",0.0128605360785438,-0.0166578480615243,-0.0386526120795599
"modelbasedmanagement",-0.38623657372817,-0.0292424488251607,0.0132710574914872
"neuromanagement",0.0115232436521641,-0.00339826477925746,0.310499415186047
"administered",0.00192164568924428,-0.00538049555904118,-0.00812296701997466
"administration",-0.0217235819480836,0.39896916759292,0.0038586191113679
"strategic",-0.00669052307739917,0.000101260135474901,-0.0186344070239436
"strategical",0.00632944632576583,-0.0130703927547561,0.00408058106226674
"strategically",0.00374871804426562,-0.00219911379459912,-0.00499289046945089
"strategies",0.00951075204515623,-0.0206824262786868,-0.0524704757592739
"strategy",0.0121215246908248,-0.016540942372579,-0.0272095118503475
"governance",0.0057416771021924,-0.00469902502569508,0.0113529560757509
"governors",0.00376789961313732,0.0253398526528961,0.012633328361555
"policy",0.00850146911174188,-0.0159379090409154,0.00305209494756451
"policymakers",-0.00922005223710862,-0.0166482894085422,-0.0267746059621261
"framework",0.0117674656060292,-0.013471670911337,0.0268377918208596
"frameworks",-0.147206526267125,-0.0238416442412235,-0.0140097215852617
"metaframework",0.00368999353954108,-0.00723415977032176,0.0221909315444882
"transparency",-0.000338489684985641,-0.0176459102760593,-0.0196759545377858
"transparent",0.0021967658466606,-0.00689063497110669,-0.0240171929252172
"sustain",0.00228701201568409,-0.00935373442516412,-0.0550656440141095
"sustainability",-0.248351399158058,-0.0271851562329232,0.00624300783871954
"sustainable",-0.0102100892714881,-0.014351761887444,-0.00708028189693863
"sustained",0.00407240649806547,-0.00511101089961772,-0.0123112756834511
"social",0.0128932523218263,-0.0187010587244296,0.118344319418973
"socialcrm",-0.00618636001450835,-0.00444998975307644,0.00200127322911622
"socialemotional",0.00356167459173544,0.00507213239508411,0.00448284658610359
"socially",0.000762613548073578,-0.0129302412576742,0.00793866871477654
"socialpsychological",0.00463124245244961,-0.00831974932866037,0.0107058289753317
"societal",0.000762613548073554,-0.0129302412576742,0.00793866871477654
"societies",-0.386236573728169,-0.0292424488251607,0.0132710574914878
"society",-0.107081964416743,0.30683807060247,0.00916553692558078
"socioeconomic",-0.0244434719952443,0.420608100602348,0.00784579595598622
"sociological",0.00574898396441017,-0.00931540714186164,-0.00590027669875621
"sociology",0.00762535081448105,-0.0163096822882498,0.405311349818868
"sociotechnological",-0.386236573728169,-0.0292424488251607,0.0132710574914878
"socioeconomic.1",-0.0244434719952443,0.420608100602348,0.00784579595598626
"environment",0.0180776931416918,-0.00677147348847845,-0.0146156656118158
"environmental",-0.0101952187399379,-0.0194492216578159,0.00890818381185154
"environmentally",-0.386236573728169,-0.0292424488251607,0.0132710574914879
"environments",0.0106101394696726,-0.00943927302302526,-0.0526079201249712
"proenvironment",0.00406059146039686,-0.00871969407534985,0.0109456977250104
"economic",-0.000137154949791698,0.0141420696715313,0.116508400820669
"economics",0.00762535081448106,-0.0163096822882498,0.405311349818868
"socioeconomic.2",-0.0244434719952443,0.420608100602348,0.00784579595598621
"informatics",0.000420819181480233,0.0488989518909681,-0.00708286818082564
"information",0.0128535723044095,-0.00622268692588075,-0.0228407188458917
"system",2.98815682939018e-06,0.280358733713305,0.049989642315601
"systematic",0.00729758055800014,-0.00715789694223983,-0.0309872823365006
"systematical",0.00243246995184891,-0.0071237756607336,-0.0205561015204763
"systematically",0.0076253508144811,-0.0163096822882498,0.405311349818868
"systems",0.0171217117450536,0.0345749613781375,-0.00284121324607721
"misinformation",0.00228701201568409,-0.00935373442516413,-0.0550656440141095
"humantechnology",0.00372553530880085,-0.00876374936768198,-0.0232770910925338
"nanotechnology",0.00431367648409698,0.0024167196315307,0.00672885604664235
"sociotechnological.1",-0.386236573728169,-0.0292424488251607,0.013271057491488
"technologies",0.0157870694207232,0.00843693335805896,-0.0152061146918857
"technology",0.0224227519413606,-0.00619795936567537,-0.0273534043715834
"usertechnology",0.00372553530880085,-0.00876374936768199,-0.0232770910925338
"usertechnologyexperience",0.00451562284755102,-0.00854995969425487,-0.0310457923312773
"businessmarketers",0.00335638952058724,-0.00586897090990103,-0.00920545444955043
"market",0.0187242143609328,-0.00854503572227824,0.186672437059001
"marketing",-0.00270243430745968,-0.00417536233512491,-0.0708647109575967
"marketplace",0.00495989728038817,-0.00915468974654053,0.00572620572688747
"neuromarketing",0.00728266058069939,-0.000664865653458213,0.0741438678538279
"supermarkets",0.00506820702321123,-0.00759718132347638,0.00114845833285667
"traditionalmarketingtheory",-0.386236573728169,-0.0292424488251607,0.0132710574914881
"brandconsumer",0.00224584438819671,-0.00577849163404014,-0.0214089821788762
"consumer",0.0283400750329105,-0.0228162158270186,0.400858565268436
"consumerai",0.00298166436814625,-0.00795978398772585,0.00114914099666862
"consumerchatbot",0.00261912393098058,0.00343673457426359,-0.0147359241352282
"consumerism",0.00263560128825716,0.0104618630864816,-0.0141687975729941
"consumermachine",0.00356167459173543,0.00507213239508411,0.0044828465861036
"consumers",0.0363706370361255,-0.0378786110243536,0.0272163393841399
"behavior",0.0155785121888191,-0.00912859139740572,0.373333836598435
"behaviour",0.00883052864298565,-0.0160542714718541,0.006338961971294
"experience",0.0338604409529626,0.0133646299286743,-0.0358345119090724
"experientialism.",-0.00496950741205067,-0.00425935884094439,-0.0184018522778578
"lowexperience",0.00314013200824225,-0.0073211971513199,-0.0174370153006195
"usertechnologyexperience.1",0.00451562284755103,-0.00854995969425487,-0.0310457923312773
"dissatisfaction",0.00545436483989843,-0.00982257669881029,0.000852050733399837
"satisfaction",-0.00741879687321737,0.309919451684867,-0.00947320748596429
